nodes__label,nodes__link,nodes__connection_label,nodes__connection_link
,,Griphook,Griphook
,,Hannah Abbott,Hannah_Abbott
,,Hedwig,Hedwig
,,Helena Ravenclaw,Helena_Ravenclaw
,,Hepzibah Smith,Hepzibah_Smith
,,Hermione Granger,Hermione_Granger
,,Horace Slughorn,Horace_Slughorn
,,Ignotus Peverell,Ignotus_Peverell
,,Igor Karkaroff,Igor_Karkaroff
,,Irma Pince,Irma_Pince
,,James Potter,James_Potter_I
,,Justin FinchFletchley,Justin_FinchFletchley
,,Katie Bell,Katie_Bell
,,Kendra Dumbledore,Kendra_Dumbledore
,,Kingsley Shacklebolt,Kingsley_Shacklebolt
,,Kreacher,Kreacher
,,Lavender Brown,Lavender_Brown
,,Lee Jordan,Lee_Jordan
,,Lily Potter,Lily_Potter
,,Lord Voldemort,Lord_Voldemort
,,Lucius Malfoy,Lucius_Malfoy
,,Ludo Bagman,Ludo_Bagman
,,Luna Lovegood,Luna_Lovegood
,,Madam Rosmerta,Madam_Rosmerta
,,Majorie Dursley,Marge
,,Marietta Edgecombe,Marietta_Edgecombe
,,Mary Cattermole,Mary_Cattermole
,,Merope Gaune,Merope_Gaunt
,,Michael Corner,Michael_Corner
,,Millicent Bulstrode,Millicent_Bulstrode
,,Minerva McGonagall,Minerva_McGonagall
,,Moaning Myrtle,Moaning_Myrtle
,,Molly Weasley,Molly_Weasley
,,Mrs. Norris,Norris
,,Mundungus Fletcher,Mundungus_Fletcher
,,Nagini,Nagini
,,Narcissa Malfoy,Narcissa_Malfoy
,,Neville Longbottom,Neville_Longbottom
,,Nicholas de MimsyPorpington,Nicholas_de_MimsyPorpington
,,Nicolas Flamel,Nicolas_Flamel
,,Norbert,Norbert
,,Nymphadora Tonks,Nymphadora_Tonks
,,Oliver Wood,Oliver_Wood
,,Olympe Maxime,Olympe_Maxime
,,Padma Patil,Padma_Patil
,,Pansy Parkinson,Pansy_Parkinson
,,Parvati Patil,Parvati_Patil
,,Peeves,Peeves
,,Penelope Clearwater,Penelope_Clearwater
,,Percival Dumbledore,Percival_Dumbledore
,,Percy Weasley,Percy_Weasley
,,Peter Pettigrew,Peter_Pettigrew
,,Petunia Dursley,Petunia_Dursley
,,Pius Thicknesse,Pius_Thicknesse
